[2015-03-05 19:23:55] EDIT perceptioncheck/models/tables.py: 0
[2015-03-06 14:24:38] EDIT perceptioncheck/models/tables.py: 0
[2015-03-06 17:31:21] EDIT perceptioncheck/models/tables.py: 1
[2015-03-06 17:32:48] EDIT perceptioncheck/models/tables.py: 0
[2015-03-06 17:36:37] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 17:37:44] EDIT perceptioncheck/models/tables.py: 2
[2015-03-06 17:38:11] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 17:38:38] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 17:38:45] EDIT perceptioncheck/models/tables.py: 0
[2015-03-06 17:39:17] EDIT perceptioncheck/controllers/games.py: -14
[2015-03-06 19:59:21] EDIT perceptioncheck/controllers/games.py: 6
[2015-03-06 19:59:34] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-06 19:59:41] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 19:59:42] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:01:09] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:01:14] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:01:44] EDIT perceptioncheck/controllers/games.py: -6
[2015-03-06 20:02:17] EDIT perceptioncheck/controllers/games.py: 6
[2015-03-06 20:02:27] EDIT perceptioncheck/controllers/games.py: -6
[2015-03-06 20:32:13] EDIT perceptioncheck/controllers/games.py: 5
[2015-03-06 20:32:41] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:46:17] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:46:20] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:52:12] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:52:43] CREATE games/edit.html: 0
[2015-03-06 20:52:48] EDIT perceptioncheck/views/games/edit.html: 2
[2015-03-06 20:54:02] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:54:27] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-06 20:55:26] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:57:18] EDIT perceptioncheck/controllers/games.py: -6
[2015-03-06 20:58:32] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 20:58:52] EDIT perceptioncheck/controllers/games.py: -6
[2015-03-06 20:59:50] EDIT perceptioncheck/controllers/games.py: 6
[2015-03-06 21:01:04] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-06 21:01:05] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:01:05] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:01:06] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:01:06] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:01:11] EDIT perceptioncheck/controllers/games.py: -5
[2015-03-06 21:01:29] EDIT perceptioncheck/controllers/games.py: 3
[2015-03-06 21:02:21] EDIT perceptioncheck/controllers/games.py: 2
[2015-03-06 21:02:58] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-06 21:07:52] EDIT perceptioncheck/controllers/games.py: 5
[2015-03-06 21:08:06] EDIT perceptioncheck/controllers/games.py: -5
[2015-03-06 21:08:35] EDIT perceptioncheck/controllers/games.py: -5
[2015-03-06 21:08:37] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-06 21:09:43] EDIT perceptioncheck/controllers/games.py: 5
[2015-03-06 21:09:48] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:10:11] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-06 21:10:37] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:10:52] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-06 21:11:12] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:11:24] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-06 21:11:42] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:31:36] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:32:18] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-06 21:32:34] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:33:48] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:34:07] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:35:19] EDIT perceptioncheck/controllers/games.py: 5
[2015-03-06 21:35:35] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:35:54] EDIT perceptioncheck/controllers/games.py: -3
[2015-03-06 21:36:27] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:37:34] EDIT perceptioncheck/controllers/games.py: 3
[2015-03-06 21:37:44] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-06 21:37:48] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:40:35] EDIT perceptioncheck/views/games/edit.html: 0
[2015-03-06 21:40:48] EDIT perceptioncheck/views/games/new.html: 1
[2015-03-06 21:42:41] EDIT perceptioncheck/controllers/games.py: 20
[2015-03-06 21:43:24] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:43:59] EDIT perceptioncheck/controllers/games.py: -5
[2015-03-06 21:44:11] EDIT perceptioncheck/controllers/games.py: -2
[2015-03-06 21:45:00] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:45:08] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:45:10] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:45:44] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:45:50] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:47:23] EDIT perceptioncheck/models/tables.py: -1
[2015-03-06 21:47:59] EDIT perceptioncheck/controllers/games.py: -7
[2015-03-06 21:49:09] EDIT perceptioncheck/controllers/games.py: -5
[2015-03-06 21:49:29] EDIT perceptioncheck/controllers/games.py: -2
[2015-03-06 21:50:34] EDIT perceptioncheck/controllers/games.py: 12
[2015-03-06 21:50:37] EDIT perceptioncheck/controllers/games.py: 0
